,name,lat,lon,temp,humidity,cloudiness,windspeed,country,date
304,Lensk,60.7253,114.9278,259.84,93,100,4.49,RU,1676233786
305,Yulara,-25.2406,130.9889,300.84,25,18,5.16,AU,1676233786
306,Valparaíso,-33.0393,-71.6273,301.28,52,0,7.72,CL,1676233645
307,Grants,35.1473,-107.8514,286.28,19,0,3.6,US,1676233787
308,San Andrés,12.5847,-81.7006,302.16,70,40,7.2,CO,1676233787
309,Viedma,-40.8135,-62.9967,305.68,20,1,1.01,AR,1676233661
310,Marabu,4.4148,114.0089,298.23,88,40,1.54,MY,1676233788
311,Alexandria,31.2156,29.9553,283.45,56,92,3.6,EG,1676233521
312,Vila Velha,-20.3297,-40.2925,302.12,78,20,7.2,BR,1676233789
313,Jiujiang,29.7333,115.9833,282.62,86,100,5.17,CN,1676233789
314,Chebarkul',54.9749,60.3633,254.74,99,91,1.87,RU,1676233790
315,Manokwari,-0.8667,134.0833,298.59,81,100,2.53,ID,1676233790
316,Portland,45.5234,-122.6762,285.08,80,75,2.68,US,1676233507
317,Ciudad Bolivar,8.1222,-63.5497,305.49,40,100,5.43,VE,1676233791
318,Pemba,-12.974,40.5178,298.45,84,100,3.79,MZ,1676233791
319,San Juan,-31.5375,-68.5364,313.64,15,0,2.91,AR,1676233792
320,Aswān,24.0934,32.907,289.76,36,0,4.12,EG,1676233792
321,Bunia,1.5667,30.25,295.49,29,90,2.4,CD,1676233792
322,Smithers,54.7804,-127.1743,277.33,87,75,4.63,CA,1676233555
323,Bowen,-20.0167,148.2333,298.58,75,6,2.5,AU,1676233793
324,Port Lincoln,-34.7333,135.8667,287.63,75,13,4.8,AU,1676233794
325,Ketchikan,55.3422,-131.6461,280.41,87,100,2.57,US,1676233794
326,Seoul,37.5683,126.9778,277.81,84,75,2.06,KR,1676233693
327,Ikeda,34.8221,135.4298,282.55,93,100,2.57,JP,1676233795
328,Fare,-16.7,-151.0167,300.48,75,100,4.71,PF,1676233795
329,Zhigansk,66.7697,123.3711,233.1,97,24,4.19,RU,1676233795
330,Abu Dhabi,24.4667,54.3667,295.16,56,0,2.57,AE,1676233783
331,Ingham,42.6,-84.3833,285.12,28,0,2.57,US,1676233796
332,Peace River,56.2501,-117.286,275.32,86,100,5.66,CA,1676233652
333,Bonnyville,54.2668,-110.735,274.04,87,100,2.88,CA,1676233797
334,Morgan City,29.6994,-91.2068,289.83,33,0,2.06,US,1676233797
335,Mufumbwe,-13.6833,24.8,292.85,78,100,1.75,ZM,1676233798
336,Santa Maria,-29.6842,-53.8069,309.76,28,0,3.09,BR,1676233798
337,Touros,-5.1989,-35.4608,301.41,70,100,6.45,BR,1676233799
338,Luganville,-15.5333,167.1667,299.63,82,100,1.22,VU,1676233799
339,Lavrentiya,65.5833,-171.0,245.69,90,100,2.68,RU,1676233800
340,Tripoli,32.8752,13.1875,286.68,65,100,3.96,LY,1676233503
341,Laas,46.6166,10.7002,279.64,74,14,0.81,IT,1676233801
342,Dmitrovsk-Orlovskiy,52.505,35.1464,265.31,91,10,5.4,RU,1676233801
343,Sendafa,9.15,39.0333,286.79,31,0,2.27,ET,1676233802
344,Norrköping,58.5942,16.1826,278.7,88,89,2.06,SE,1676233803
345,Santa Cruz Cabrália,-16.2781,-39.0247,302.28,70,40,4.12,BR,1676233804
346,Agirish,61.9247,63.0231,264.04,95,100,3.82,RU,1676233805
347,Mūl,20.0667,79.6667,292.26,26,90,2.89,IN,1676233806
348,Illapel,-31.6308,-71.1653,301.15,32,0,4.23,CL,1676233572
349,Quelimane,-17.8786,36.8883,297.12,94,75,3.09,MZ,1676233807
350,Letchworth,51.9794,-0.2284,281.14,88,100,3.6,GB,1676233808
351,Hambantota,6.1241,81.1185,295.62,85,77,5.07,LK,1676233809
352,Lishu,43.3047,124.3278,261.11,92,16,1.96,CN,1676233810
353,Labuhan,-6.8844,112.2051,296.73,91,100,3.82,ID,1676233811
354,Pukhrāyān,26.2333,79.85,284.42,39,0,3.91,IN,1676233812
355,Belinsky,52.9647,43.4165,267.14,97,100,2.72,RU,1676233812
356,Namanga,-2.5433,36.7905,292.48,48,74,3.77,KE,1676233813
